PAIS,SEXO,AÑO,OBS_VALUE,OECD
Luxembourg,Total,2019,82.7,NO
Luxembourg,Total,2018,82.3,NO
Luxembourg,Total,2017,82.1,NO
Luxembourg,Total,2016,82.7,NO
Luxembourg,Total,2015,82.4,NO
Luxembourg,Male,2015,80,NO
Luxembourg,Female,2023,85.1,NO
Luxembourg,Female,2022,85.2,NO
Luxembourg,Female,2021,84.8,NO
Luxembourg,Female,2020,84.5,NO
Luxembourg,Female,2019,85.2,NO
Luxembourg,Female,2018,84.6,NO
Luxembourg,Female,2017,84.4,NO
Luxembourg,Female,2016,85.4,NO
Luxembourg,Female,2015,84.7,NO
Luxembourg,Total,2023,83.4,NO
Luxembourg,Total,2022,83,NO
Luxembourg,Total,2021,82.7,NO
Luxembourg,Total,2020,82.2,NO
Luxembourg,Male,2023,81.7,NO
Luxembourg,Male,2022,80.8,NO
Luxembourg,Male,2021,80.5,NO
Luxembourg,Male,2020,79.9,NO
Mexico,Male,2018,71.8,NO
Mexico,Male,2017,72,NO
Mexico,Male,2016,72,NO
Mexico,Female,2019,78,NO
Mexico,Female,2018,78,NO
Mexico,Female,2017,77.9,NO
Mexico,Female,2016,77.7,NO
Mexico,Female,2015,77.8,NO
Mexico,Male,2015,72.4,NO
Mexico,Total,2023,75.3,NO
Mexico,Total,2022,75.2,NO
Mexico,Total,2021,68.8,NO
Mexico,Total,2020,68.9,NO
Mexico,Total,2019,74.8,NO
Mexico,Total,2018,74.9,NO
Mexico,Total,2017,74.8,NO
Mexico,Total,2016,74.8,NO
Mexico,Total,2015,75.1,NO
Mexico,Female,2023,78.6,NO
Mexico,Female,2022,78.5,NO
Mexico,Female,2021,73.1,NO
Mexico,Female,2020,73.5,NO
Mexico,Male,2023,72.3,NO
Mexico,Male,2022,72.1,NO
Mexico,Male,2021,64.9,NO
Mexico,Male,2020,64.9,NO
Netherlands,Male,2018,80.3,NO
Netherlands,Male,2017,80.2,NO
Netherlands,Male,2016,80,NO
Netherlands,Total,2019,82.2,NO
Netherlands,Total,2018,81.9,NO
Netherlands,Total,2017,81.8,NO
Netherlands,Total,2016,81.7,NO
Netherlands,Total,2015,81.6,NO
Netherlands,Male,2015,79.9,NO
Netherlands,Female,2023,83.4,NO
Netherlands,Female,2022,83.1,NO
Netherlands,Female,2021,83,NO
Netherlands,Female,2020,83.1,NO
Netherlands,Female,2019,83.7,NO
Netherlands,Female,2018,83.4,NO
Netherlands,Female,2017,83.4,NO
